AAPL,ABBV,ABT,ACN,ADBE,ADI,ADP,AMAT,AMD,AMGN,AMT,AMZN,AVGO,AXP,BA,BAC,BKNG,BLK,BMY,C,CAT,CB,CI,CMCSA,COP,COST,CRM,CSCO,CVS,CVX,DE,DHR,DIS,DUK,EL,EOG,GE,GILD,GOOG,GOOGL,GS,HCA,HD,HON,IBM,INTC,INTU,ISRG,JNJ,JPM,KO,LIN,LLY,LMT,LOW,MA,MCD,MDLZ,MDT,MMC,MO,MPC,MRK,MS,MSFT,NEE,NFLX,NKE,NOC,NOW,NVDA,ORCL,PEP,PFE,PG,PGR,PLD,PM,PYPL,QCOM,REGN,RTX,SCHW,SPGI,SYK,T,TGT,TJX,TMO,TMUS,TSLA,TXN,UNH,UNP,UPS,VRTX,VZ,WFC,WMT,XOM
128.997802734375,99.55236053466797,107.07147979736328,252.67364501953125,485.3399963378906,144.7849578857422,167.30816650390625,86.5541000366211,92.30000305175781,223.41619873046875,215.34730529785156,159.3314971923828,418.6448974609375,116.38768005371094,202.72000122070312,29.3194522857666,2164.080078125,697.0758056640625,59.448646545410156,57.90189743041992,177.56112670898438,147.08621215820312,202.0811004638672,49.8364372253418,38.08357620239258,377.88153076171875,220.30999755859375,43.34489059448242,67.89639282226562,79.65483093261719,264.7022399902344,222.54351806640625,177.67999267578125,85.43527221679688,252.72103881835938,46.74190902709961,83.6060562133789,58.81993103027344,86.41200256347656,86.30650329589844,258.902099609375,162.2262725830078,258.51934814453125,203.33663940429688,111.28599548339844,49.06810760498047,370.1407775878906,266.6666564941406,151.67921447753906,122.054931640625,51.14751052856445,255.07852172851562,162.3514404296875,332.22747802734375,157.59527587890625,349.3158874511719,204.37762451171875,57.32960891723633,113.57532501220703,111.42507934570312,38.011940002441406,38.87196350097656,74.54483032226562,66.27600860595703,216.68942260742188,72.38658142089844,522.8599853515625,139.0543975830078,288.4374694824219,526.8300170898438,131.05972290039062,62.55023193359375,142.08908081054688,35.15666580200195,133.7171630859375,90.88421630859375,94.14755249023438,77.43214416503906,231.9199981689453,147.04530334472656,482.8599853515625,66.43978881835938,52.09926986694336,330.027587890625,236.65333557128906,19.178970336914062,174.4677734375,65.5877456665039,470.8753662109375,132.42999267578125,243.2566680908203,159.46778869628906,344.6540832519531,198.2178192138672,159.19300842285156,229.42999267578125,55.629085540771484,29.16973876953125,144.23626708984375,38.66728591918945
130.5926971435547,100.581787109375,108.39625549316406,254.1121063232422,485.69000244140625,147.3728790283203,166.8427734375,89.274169921875,92.7699966430664,224.5004425048828,216.435791015625,160.92550659179688,421.4803466796875,117.00885009765625,211.6300048828125,29.54400634765625,2188.070068359375,700.7631225585938,59.6132926940918,59.403846740722656,179.0135955810547,147.20411682128906,199.8315887451172,49.539085388183594,40.268306732177734,373.4978332519531,221.52000427246094,43.36460876464844,68.35233306884766,81.80817413330078,271.26934814453125,228.06651306152344,178.44000244140625,85.47335815429688,256.52685546875,50.548011779785156,86.00164031982422,58.7122917175293,87.0459976196289,87.00250244140625,264.6956481933594,163.58444213867188,260.6057434082031,203.83535766601562,113.2613754272461,49.99672317504883,367.3226013183594,268.3500061035156,153.46255493164062,122.71907043457031,50.585243225097656,259.0799560546875,163.1558380126953,336.2279968261719,158.12591552734375,345.2710266113281,205.60260009765625,57.38899612426758,114.48573303222656,110.64958953857422,37.937477111816406,40.15020751953125,74.6737289428711,67.4011459350586,216.8984375,72.92298126220703,520.7999877929688,140.1759490966797,290.2281799316406,531.969970703125,133.97055053710938,61.77509689331055,142.5125732421875,35.51959228515625,134.5709686279297,90.71581268310547,94.29460144042969,78.27772521972656,234.91000366210938,150.93678283691406,483.45001220703125,67.4010009765625,52.10914611816406,325.2739562988281,237.2869873046875,19.06170654296875,177.1589813232422,65.49939727783203,476.7635498046875,131.85000610351562,245.0366668701172,160.63758850097656,340.0191955566406,200.64903259277344,156.97711181640625,228.5800018310547,55.37385940551758,29.98491859436035,143.46849060058594,40.53076934814453
126.19674682617188,99.71290588378906,108.1705551147461,256.8904113769531,466.30999755859375,148.03721618652344,166.25852966308594,90.49970245361328,90.33000183105469,229.91188049316406,210.728515625,156.91900634765625,418.88116455078125,121.33739471435547,211.02999877929688,31.3892879486084,2249.81005859375,720.7490844726562,59.75857925415039,62.82173538208008,188.9761199951172,154.2082061767578,205.72547912597656,50.11396789550781,41.87557601928711,367.8119812011719,216.14999389648438,43.77873611450195,70.38951110839844,84.44109344482422,287.1728210449219,235.62318420410156,179.1199951171875,86.5781021118164,256.04119873046875,51.61672592163086,90.71295928955078,60.62044143676758,86.7645034790039,86.14399719238281,278.97918701171875,169.08648681640625,262.09466552734375,207.551025390625,116.08977508544922,50.480777740478516,359.4856262207031,264.2633361816406,154.9066619873047,128.4814453125,48.97597885131836,267.5855407714844,161.19387817382812,335.495361328125,160.2386016845703,345.40020751953125,205.1359405517578,57.28011703491211,116.3554916381836,111.41525268554688,38.55177688598633,40.970577239990234,75.85231018066406,71.46519470214844,211.2744140625,76.4925765991211,500.489990234375,141.28759765625,292.7235107421875,507.25,126.07257843017578,61.62736129760742,140.7693328857422,35.21396255493164,135.98748779296875,92.43748474121094,92.05952453613281,78.38223266601562,226.8300018310547,149.70895385742188,470.0899963378906,68.23599243164062,56.691036224365234,325.6799621582031,240.0493621826172,19.433040618896484,185.55679321289062,68.37578582763672,484.23858642578125,131.52999877929688,251.9933319091797,161.43385314941406,354.2886047363281,204.84754943847656,156.51060485839844,226.64999389648438,56.045005798339844,32.106353759765625,144.36424255371094,41.56500244140625
130.50299072265625,100.78010559082031,109.2205581665039,259.3141174316406,477.739990234375,154.29383850097656,167.19924926757812,94.21613311767578,95.16000366210938,230.67086791992188,213.2879638671875,158.10800170898438,436.5339660644531,120.37763214111328,212.7100067138672,32.082489013671875,2239.85009765625,735.91015625,60.39781188964844,63.56307601928711,189.33680725097656,153.1079864501953,216.5996856689453,50.21308135986328,43.020877838134766,365.72454833984375,217.97999572753906,44.330894470214844,71.7767333984375,84.83602142333984,296.4400329589844,238.97283935546875,178.5800018310547,85.606689453125,255.97181701660156,54.95408630371094,89.99429321289062,61.17820739746094,89.36250305175781,88.71700286865234,284.9388427734375,172.10023498535156,260.81146240234375,207.89328002929688,115.82040405273438,51.55757141113281,367.08367919921875,269.4033203125,155.43002319335938,132.70066833496094,48.43308639526367,266.8168029785156,162.67515563964844,330.21270751953125,160.8674774169922,348.1366882324219,206.0886993408203,57.17123794555664,116.19886779785156,111.25819396972656,38.88684844970703,42.13434600830078,77.36235046386719,72.68730926513672,217.28665161132812,77.33132934570312,508.8900146484375,143.86817932128906,286.30419921875,511.4100036621094,133.36338806152344,62.11982727050781,140.31629943847656,35.39543151855469,134.7165069580078,92.97724151611328,93.44174194335938,78.83828735351562,235.0399932861328,154.1747589111328,481.20001220703125,67.75053405761719,58.32037353515625,325.8879699707031,241.3068084716797,19.485157012939453,187.69801330566406,68.6212158203125,499.3282775878906,133.19000244140625,272.0133361816406,165.09075927734375,359.96868896484375,207.6986083984375,154.52796936035156,232.89999389648438,55.91889190673828,32.8331413269043,144.35440063476562,41.89111328125
131.62937927246094,101.3089828491211,109.52476501464844,260.260009765625,485.1000061035156,155.41429138183594,169.3777313232422,95.21249389648438,94.58000183105469,235.07688903808594,217.89694213867188,159.13499450683594,438.7491455078125,120.4963607788086,209.89999389648438,31.76029396057129,2281.5400390625,741.823486328125,60.523719787597656,62.9372673034668,189.3660430908203,152.65611267089844,216.89434814453125,51.085323333740234,43.020877838134766,367.73248291015625,222.0399932861328,44.42949676513672,72.6207275390625,85.64469909667969,290.68389892578125,242.74122619628906,178.69000244140625,85.75906372070312,258.4099426269531,55.18844985961914,90.55326843261719,61.68704605102539,90.3604965209961,89.8915023803711,283.40496826171875,170.7916259765625,263.5835266113281,205.37049865722656,115.4073715209961,51.02412033081055,373.4869689941406,272.9166564941406,155.11016845703125,132.84718322753906,49.518863677978516,266.50140380859375,163.24412536621094,323.9950866699219,162.1842041015625,352.1070251464844,209.87059020996094,57.59685516357422,117.18758392333984,111.39563751220703,38.71001052856445,41.189971923828125,76.45079803466797,72.98799896240234,218.6105499267578,79.1258773803711,510.3999938964844,145.2577362060547,282.1453552246094,529.6400146484375,132.6912841796875,62.4251594543457,142.00042724609375,35.462284088134766,134.6582794189453,92.74171447753906,94.69651794433594,78.94278717041016,242.4600067138672,155.10556030273438,498.7300109863281,67.82819366455078,58.24137496948242,323.6894226074219,241.2473907470703,19.350780487060547,190.1534881591797,68.93536376953125,511.2742919921875,135.05999755859375,293.3399963378906,168.25611877441406,358.3514404296875,213.6546173095703,153.93515014648438,237.0,55.22145462036133,32.5974235534668,144.33470153808594,42.35697937011719
128.5691680908203,102.96175384521484,108.76915740966797,256.5062255859375,474.239990234375,156.96109008789062,166.86256408691406,97.60377502441406,97.25,234.17005920410156,210.75791931152344,155.7104949951172,438.8673095703125,119.78394317626953,206.7899932861328,32.28751754760742,2221.27001953125,751.8557739257812,62.92568588256836,63.96744918823242,188.9761199951172,151.4085235595703,216.02992248535156,51.06549835205078,43.65608215332031,361.83782958984375,218.25,44.725303649902344,73.79451751708984,86.13368225097656,291.68280029296875,243.36929321289062,179.08999633789062,85.0352783203125,255.813232421875,55.882179260253906,91.431640625,61.16842269897461,88.33599853515625,87.81449890136719,287.06866455078125,169.88949584960938,265.6797790527344,203.737548828125,115.45226287841797,50.91545104980469,371.3724670410156,271.2166748046875,154.4608154296875,134.82981872558594,48.66575622558594,263.67279052734375,182.40255737304688,325.51812744140625,163.43215942382812,346.48486328125,208.27615356445312,56.5080680847168,116.00308227539062,110.52197265625,38.48662567138672,41.581077575683594,78.26469421386719,73.77364349365234,216.49034118652344,77.72145080566406,499.1000061035156,145.9525146484375,288.4178466796875,523.0599975585938,136.1367950439453,62.08042907714844,139.94203186035156,36.07353973388672,133.7462615966797,93.32073974609375,92.79474639892578,78.20171356201172,237.5,154.5807647705078,502.9200134277344,67.76995849609375,59.49547576904297,316.1134338378906,239.455322265625,19.25075912475586,191.80357360839844,67.11920928955078,512.3222045898438,132.92999267578125,270.39666748046875,168.40357971191406,355.7480773925781,212.21929931640625,157.3075714111328,234.63999938964844,54.89662170410156,32.64653396606445,144.984375,43.642784118652344
128.38973999023438,103.67951965332031,106.8065185546875,254.5850067138672,471.6499938964844,157.74440002441406,167.4071807861328,99.64632415771484,95.36000061035156,233.20408630371094,210.7481231689453,156.04150390625,442.4411926269531,120.33804321289062,208.41000366210938,32.86355972290039,2196.340087890625,762.7018432617188,63.37120819091797,64.18889617919922,192.5634002685547,153.84474182128906,221.23617553710938,49.568817138671875,45.638694763183594,362.0267333984375,215.52000427246094,45.14928436279297,73.97884368896484,87.76982879638672,298.7740783691406,239.9498291015625,175.99000549316406,84.69244384765625,253.1372833251953,58.535194396972656,94.06678771972656,60.747650146484375,87.32749938964844,86.87149810791016,295.2558288574219,170.75198364257812,270.6753845214844,204.24603271484375,116.01793670654297,52.5948486328125,364.7198181152344,262.80999755859375,153.25900268554688,136.94920349121094,48.57850646972656,262.7759094238281,175.3983917236328,329.5379638671875,166.0557861328125,341.23089599609375,205.7192840576172,56.73572540283203,114.8185806274414,110.9244384765625,38.09571075439453,43.47936248779297,76.50604248046875,73.52146911621094,213.9420928955078,77.77997589111328,494.25,143.9674530029297,291.1578369140625,513.2100219726562,134.7700958251953,61.47962188720703,139.29200744628906,35.510040283203125,132.97007751464844,93.30111694335938,92.84375762939453,77.02360534667969,237.63999938964844,152.93701171875,505.75,69.43992614746094,60.433570861816406,312.8056945800781,236.84144592285156,19.170743942260742,195.5555877685547,67.14866638183594,497.7713623046875,128.69000244140625,283.14666748046875,169.3767852783203,352.4149169921875,213.47885131835938,159.29989624023438,229.3800048828125,54.70554733276367,33.33403396606445,146.63809204101562,44.61179733276367
130.47308349609375,106.20114135742188,110.05467987060547,254.14999389648438,472.04998779296875,157.1395721435547,163.0502166748047,97.69344329833984,91.77999877929688,234.33763122558594,212.2681121826172,158.29449462890625,444.2330322265625,121.10982513427734,207.2100067138672,32.66829299926758,2182.419921875,764.6729736328125,62.693233489990234,64.37181854248047,190.95498657226562,154.34573364257812,219.8511199951172,49.71749496459961,45.26334762573242,364.76031494140625,218.17999267578125,44.725303649902344,72.67892456054688,87.6852035522461,297.91363525390625,239.1024627685547,176.1199951171875,87.19711303710938,254.37615966796875,56.68839645385742,92.38987731933594,60.219242095947266,87.72000122070312,87.36250305175781,295.9690246582031,168.9972686767578,268.4420166015625,202.42727661132812,113.96173858642578,56.25989532470703,364.0116271972656,270.48333740234375,153.0264129638672,137.076171875,48.626976013183594,263.8699035644531,181.970947265625,333.04681396484375,166.8812255859375,344.6240539550781,206.19564819335938,56.785213470458984,116.21844482421875,111.39563751220703,38.24462890625,42.277435302734375,75.81548309326172,73.28868103027344,215.3456268310547,79.81832885742188,507.7900085449219,141.97244262695312,293.03662109375,521.7100219726562,135.2398223876953,61.12504577636719,140.43447875976562,35.204410552978516,133.17381286621094,93.16372680664062,93.52996826171875,77.15662384033203,244.89999389648438,155.87791442871094,511.8999938964844,68.44959259033203,58.76473617553711,309.0325622558594,240.7919464111328,19.077388763427734,193.31614685058594,66.88359832763672,500.70550537109375,128.5,284.8033447265625,168.5018768310547,350.11724853515625,211.4967803955078,158.5223846435547,227.10000610351562,54.51446533203125,33.196533203125,145.14187622070312,45.11493682861328
128.49940490722656,106.65975952148438,108.41912841796875,252.09371948242188,463.2699890136719,158.1112823486328,160.32708740234375,105.41526794433594,90.79000091552734,238.20152282714844,210.8265838623047,156.37350463867188,445.0797424316406,122.47527313232422,209.91000366210938,33.18574905395508,2182.590087890625,729.1239013671875,63.942630767822266,66.44181060791016,192.42694091796875,153.06871032714844,216.8747100830078,49.14261245727539,46.07179641723633,360.187744140625,215.60000610351562,44.51824188232422,72.80503845214844,89.79153442382812,299.5257263183594,235.9720916748047,173.42999267578125,87.2923583984375,247.79522705078125,58.71180725097656,93.10855102539062,61.06078338623047,87.00900268554688,86.5459976196289,300.78564453125,166.8162841796875,262.848876953125,203.9820098876953,115.80244445800781,58.532020568847656,364.5602111816406,265.71331787109375,155.70138549804688,137.87704467773438,47.725399017333984,259.88812255859375,183.1383056640625,334.9266357421875,167.43150329589844,325.31964111328125,202.70541381835938,56.725830078125,115.28845977783203,109.93299102783203,38.263240814208984,43.4221305847168,75.65894317626953,74.17133331298828,212.04087829589844,80.49129486083984,500.8599853515625,140.2454376220703,296.520263671875,514.3400268554688,131.92672729492188,60.671974182128906,139.6170196533203,35.0993537902832,131.75730895996094,91.71125030517578,93.61819458007812,77.12812042236328,242.05999755859375,159.27432250976562,517.9099731445312,68.87679290771484,58.58699417114258,303.2192687988281,239.73252868652344,19.530820846557617,194.48497009277344,66.7756118774414,495.9151306152344,124.69000244140625,281.6666564941406,168.7967987060547,345.6697692871094,211.05738830566406,158.87228393554688,226.1199951171875,54.495361328125,34.12957763671875,144.66940307617188,46.87593078613281
126.73502349853516,105.59918975830078,109.66057586669922,250.7591094970703,458.0799865722656,156.41574096679688,159.54481506347656,102.76493072509766,88.20999908447266,241.97671508789062,215.6316680908203,155.21249389648438,438.9559020996094,120.86245727539062,204.32000732421875,32.22893524169922,2119.22998046875,713.688232421875,64.44628143310547,61.83969497680664,189.71697998046875,152.44981384277344,215.0279541015625,48.260459899902344,43.42509460449219,359.9988708496094,213.13999938964844,44.79431915283203,73.97884368896484,86.59442901611328,292.157470703125,236.02195739746094,171.44000244140625,87.72090911865234,246.91317749023438,55.83469772338867,90.4734115600586,61.970821380615234,86.80950164794922,86.38099670410156,294.0834655761719,167.3119659423828,269.9505310058594,201.4005889892578,115.28166198730469,56.882259368896484,370.0459289550781,259.47332763671875,155.3621826171875,135.40606689453125,47.21159744262695,254.36888122558594,187.1406707763672,334.7626953125,168.36500549316406,321.667724609375,204.07623291015625,56.63674545288086,114.34869384765625,109.78575134277344,38.347015380859375,41.95309829711914,76.7730712890625,72.9782943725586,211.67257690429688,80.01339721679688,497.9800109863281,139.6697540283203,294.2989501953125,513.760009765625,128.52117919921875,60.84925842285156,139.2526092529297,35.051597595214844,130.7676544189453,93.03614044189453,95.75523376464844,76.90010070800781,239.7899932861328,155.5511474609375,517.9299926757812,67.18739318847656,58.01425552368164,302.9915771484375,239.5939483642578,19.450803756713867,191.33212280273438,67.20755767822266,502.1326599121094,127.27999877929688,275.38665771484375,166.31954956054688,346.4290771484375,211.4870147705078,154.43080139160156,225.5500030517578,54.820194244384766,31.467960357666016,142.37586975097656,44.621116638183594
