Date,AAPL,ABBV,ABT,ACN,ADBE,ADI,ADP,AMAT,AMD,AMGN,AMT,AMZN,AVGO,AXP,BA,BAC,BKNG,BLK,BMY,C,CAT,CB,CI,CMCSA,COP,COST,CRM,CSCO,CVS,CVX,DE,DHR,DIS,DUK,EL,EOG,GE,GILD,GOOG,GOOGL,GS,HCA,HD,HON,IBM,INTC,INTU,ISRG,JNJ,JPM,KO,LIN,LLY,LMT,LOW,MA,MCD,MDLZ,MDT,MMC,MO,MPC,MRK,MS,MSFT,NEE,NFLX,NKE,NOC,NOW,NVDA,ORCL,PEP,PFE,PG,PGR,PLD,PM,PYPL,QCOM,REGN,RTX,SCHW,SPGI,SYK,T,TGT,TJX,TMO,TMUS,TSLA,TXN,UNH,UNP,UPS,VRTX,VZ,WFC,WMT,XOM
2022-01-03,182.00999450683594,134.02920532226562,138.55128479003906,406.156982421875,564.3699951171875,177.14999389648438,244.00999450683594,159.92999267578125,150.24000549316406,226.69000244140625,286.3800048828125,170.4044952392578,663.3200073242188,167.7888946533203,207.86000061035156,45.95530700683594,2461.419921875,911.72998046875,61.34243392944336,62.60688018798828,206.0004425048828,191.44000244140625,234.1999969482422,50.7400016784668,73.40078735351562,566.7100219726562,255.4600067138672,63.15999984741211,103.60623168945312,118.02088928222656,350.1099853515625,315.760009765625,156.75999450683594,102.46560668945312,369.5320739746094,90.4947280883789,96.23999786376953,72.58000183105469,145.07449340820312,144.9915008544922,393.0133056640625,254.0800018310547,408.6400146484375,205.6675567626953,134.4208221435547,53.209999084472656,631.469970703125,360.0,170.4458770751953,160.73651123046875,59.29999923706055,338.6400146484375,270.60040283203125,351.93695068359375,254.67019653320312,370.4638671875,267.09417724609375,65.97000122070312,106.0999984741211,166.6588592529297,47.970001220703125,65.17891693115234,76.87000274658203,99.49665069580078,334.75,91.15513610839844,597.3699951171875,164.6699981689453,383.99951171875,630.1400146484375,301.2099914550781,87.57466888427734,172.97999572753906,56.2225341796875,162.02536010742188,101.90086364746094,164.89999389648438,95.7300033569336,194.94000244140625,186.2100067138672,627.0999755859375,86.48914337158203,85.57853698730469,460.2118835449219,268.4200134277344,18.70049285888672,230.94911193847656,75.2711410522461,644.9199829101562,114.43000030517578,399.9266662597656,190.60000610351562,502.2799987792969,246.56231689453125,211.95986938476562,222.52999877929688,51.815711975097656,50.50324249267578,144.64999389648438,62.84332275390625
2022-01-04,179.6999969482422,133.77188110351562,135.2928009033203,403.2545166015625,554.0,175.5500030517578,245.14999389648438,158.36000061035156,144.4199981689453,227.83999633789062,282.7699890136719,167.52200317382812,670.9199829101562,173.1753692626953,213.6300048828125,47.75650405883789,2464.929931640625,917.219970703125,61.59026336669922,63.09305191040039,217.0269317626953,195.61000061035156,233.3000030517578,50.189998626708984,76.58477783203125,564.22998046875,248.22999572753906,61.25,103.73553466796875,120.16834259033203,371.2900085449219,307.260009765625,155.72999572753906,102.38639831542969,371.0988464355469,94.65414428710938,99.37000274658203,72.20999908447266,144.41650390625,144.39950561523438,405.0921325683594,260.2699890136719,412.8399963378906,207.85549926757812,136.3772735595703,53.13999938964844,618.3200073242188,354.6300048828125,169.9888153076172,166.8300018310547,60.290000915527344,344.80999755859375,265.7008361816406,359.5147705078125,258.9560546875,374.8980407714844,267.0245666503906,66.44999694824219,106.38999938964844,166.57913208007812,49.029998779296875,67.31315612792969,77.01000213623047,103.53848266601562,329.010009765625,90.18053436279297,591.1500244140625,166.38999938964844,395.4140319824219,603.9400024414062,292.8999938964844,88.51118469238281,173.22999572753906,54.118526458740234,162.59231567382812,102.06071472167969,161.0,96.33999633789062,191.13999938964844,187.22999572753906,616.8200073242188,89.52227020263672,89.76964569091797,458.9343566894531,277.7699890136719,18.85491943359375,233.15953063964844,76.43682098388672,618.0,114.05999755859375,383.1966552734375,190.8000030517578,490.8999938964844,250.80154418945312,215.72251892089844,221.86000061035156,52.83345413208008,52.51421356201172,142.0,65.20711517333984
2022-01-05,174.9199981689453,134.47457885742188,134.6849365234375,396.1529235839844,514.4299926757812,172.83999633789062,243.05999755859375,153.74000549316406,136.14999389648438,225.13999938964844,264.57000732421875,164.35699462890625,643.0,171.32998657226562,213.07000732421875,46.950443267822266,2413.300048828125,891.77001953125,61.619998931884766,62.35883331298828,218.68887329101562,194.02000427246094,236.52000427246094,50.220001220703125,75.2713851928711,549.9199829101562,227.6699981689453,60.279998779296875,105.24745178222656,120.95013427734375,372.04998779296875,305.29998779296875,155.19000244140625,102.61412048339844,355.3810729980469,92.91691589355469,99.37000274658203,72.18000030517578,137.65350341796875,137.77499389648438,396.29400634765625,258.9700012207031,407.239990234375,209.9042205810547,136.57489013671875,53.869998931884766,593.7000122070312,341.95001220703125,171.1215362548828,163.77999877929688,60.790000915527344,346.4100036621094,259.5664367675781,355.6911315917969,253.91268920898438,373.40997314453125,265.7118835449219,67.41000366210938,106.01000213623047,164.26705932617188,48.63999938964844,67.74000549316406,78.87999725341797,100.97633361816406,316.3800048828125,89.23577117919922,567.52001953125,162.25,393.4219665527344,572.760009765625,276.0400085449219,86.13999938964844,173.82000732421875,55.21023178100586,163.32833862304688,102.79000091552734,157.64999389648438,95.94999694824219,187.16000366210938,186.5,595.1199951171875,89.07476043701172,89.12101745605469,454.8821716308594,272.25,19.27408218383789,227.87245178222656,74.86265563964844,618.52001953125,115.36000061035156,362.7066650390625,186.82000732421875,489.69000244140625,251.55783081054688,213.01222229003906,221.4199981689453,53.37690353393555,52.056270599365234,143.9199981689453,66.01812744140625
2022-01-06,172.0,133.84115600585938,134.66500854492188,377.02252197265625,514.1199951171875,173.38999938964844,241.38999938964844,156.33999633789062,136.22999572753906,225.1699981689453,264.8900146484375,163.25399780273438,637.030029296875,172.89999389648438,211.33999633789062,47.89582061767578,2429.969970703125,895.489990234375,61.47999954223633,64.40274047851562,220.91806030273438,197.99000549316406,227.5399932861328,50.5099983215332,78.09716796875,549.7999877929688,229.14999389648438,60.91999816894531,102.04457092285156,121.97933197021484,376.3599853515625,303.9200134277344,156.89999389648438,102.44580841064453,354.6625671386719,94.82290649414062,99.94999694824219,71.58999633789062,137.55099487304688,137.74749755859375,394.60394287109375,254.50999450683594,405.760009765625,209.66554260253906,133.72915649414062,54.0099983215332,586.3900146484375,334.17999267578125,170.53530883789062,165.52000427246094,60.470001220703125,338.010009765625,258.2519226074219,355.55206298828125,256.9427185058594,370.0,268.1980285644531,67.37999725341797,104.97000122070312,166.12071228027344,49.209999084472656,69.63601684570312,78.83000183105469,102.70429229736328,313.8800048828125,85.29757690429688,553.2899780273438,161.0399932861328,395.6929016113281,574.0399780273438,281.7799987792969,86.33999633789062,173.86000061035156,54.42618942260742,161.95574951171875,105.25,156.57000732421875,97.41000366210938,192.27000427246094,185.9499969482422,598.4400024414062,89.56204986572266,90.5479965209961,451.0894775390625,271.5,19.200544357299805,230.35171508789062,75.19143676757812,620.4000244140625,115.56999969482422,354.8999938964844,186.75999450683594,469.6499938964844,252.2544403076172,215.0772247314453,221.64999389648438,53.119998931884766,53.390281677246094,143.52000427246094,67.57091522216797
2022-01-07,172.1699981689453,133.4947509765625,135.08352661132812,369.7912902832031,510.70001220703125,168.83999633789062,238.83999633789062,150.80999755859375,132.0,227.2899932861328,266.5799865722656,162.5540008544922,619.1500244140625,174.3800048828125,215.5,48.940711975097656,2434.580078125,892.27001953125,62.83000183105469,65.26593780517578,223.10743713378906,201.19000244140625,233.17999267578125,50.04999923706055,80.23640441894531,536.1799926757812,228.30999755859375,61.130001068115234,103.63607025146484,123.73094177246094,378.6499938964844,295.6700134277344,157.8300018310547,103.46560668945312,354.2034912109375,97.44364166259766,101.4000015258789,71.26000213623047,137.00450134277344,137.01699829101562,395.1805725097656,252.2100067138672,393.6099853515625,214.56854248046875,133.22523498535156,53.439998626708984,567.5599975585938,324.2900085449219,172.8404998779297,167.16000366210938,60.33000183105469,336.2799987792969,258.4212341308594,357.6774597167969,250.2647247314453,369.6499938964844,265.58258056640625,67.55000305175781,105.16000366210938,163.2505340576172,49.77000045776367,70.4103012084961,80.30000305175781,103.3299331665039,314.0400085449219,85.9340591430664,541.0599975585938,156.97000122070312,398.8304443359375,566.3900146484375,272.4700012207031,87.51000213623047,174.0800018310547,55.2995491027832,161.86622619628906,109.18000030517578,153.72999572753906,99.13999938964844,187.60000610351562,180.41000366210938,603.72998046875,89.93995666503906,91.5458755493164,445.8895263671875,263.57000732421875,19.856494903564453,229.78416442871094,74.10545349121094,607.0700073242188,109.73999786376953,342.32000732421875,179.44000244140625,458.6000061035156,253.53814697265625,216.5862579345703,221.85000610351562,54.2400016784668,54.525184631347656,144.88999938964844,68.12477111816406
2022-01-10,172.19000244140625,134.98924255371094,134.78457641601562,372.03546142578125,525.8300170898438,170.39999389648438,232.88999938964844,149.58999633789062,132.0,230.3699951171875,264.4100036621094,161.48599243164062,621.1599731445312,173.74000549316406,209.30999755859375,48.69192886352539,2426.39990234375,873.3400268554688,65.0999984741211,65.51398468017578,220.5697479248047,198.82000732421875,233.69000244140625,50.52000045776367,80.62445068359375,518.7999877929688,229.6300048828125,61.81999969482422,104.5014419555664,123.81011199951172,379.8599853515625,303.0299987792969,156.60000610351562,103.52500915527344,335.2024841308594,97.34436798095703,99.41999816894531,72.08999633789062,138.57400512695312,138.66949462890625,396.8308410644531,249.47000122070312,387.4599914550781,212.2910919189453,133.4228515625,55.209999084472656,570.1900024414062,325.5299987792969,171.98599243164062,167.32000732421875,60.43000030517578,335.42999267578125,259.0286865234375,360.76617431640625,246.8759002685547,363.9100036621094,262.9472351074219,67.02999877929688,105.62000274658203,164.61585998535156,50.540000915527344,69.9338150024414,82.37000274658203,103.40937805175781,314.2699890136719,83.82572937011719,539.8499755859375,150.44000244140625,400.63323974609375,572.0,274.0,89.27999877929688,174.1699981689453,55.81562805175781,159.6581573486328,110.0,153.02000427246094,100.27999877929688,182.9499969482422,179.67999267578125,621.27001953125,89.23387908935547,91.45606994628906,434.5514221191406,263.8500061035156,19.984893798828125,226.43865966796875,72.2224349975586,625.0399780273438,105.73999786376953,352.7066650390625,182.9600067138672,465.0,249.06007385253906,210.20263671875,223.9600067138672,53.869998931884766,55.10259246826172,144.61000061035156,67.71926879882812
2022-01-11,175.0800018310547,135.56329345703125,135.22303771972656,374.1399841308594,529.8900146484375,173.6300048828125,235.27999877929688,152.4499969482422,137.30999755859375,232.3800048828125,260.489990234375,165.36199951171875,622.0499877929688,175.3800048828125,216.02000427246094,48.97056198120117,2469.419921875,888.1900024414062,65.4800033569336,66.58554077148438,218.8878936767578,199.47999572753906,240.13999938964844,51.13999938964844,83.17163848876953,522.030029296875,234.83999633789062,62.369998931884766,105.47623443603516,126.64039611816406,380.54998779296875,305.3299865722656,157.88999938964844,102.20818328857422,339.8728942871094,101.45415496826172,101.79000091552734,72.37000274658203,140.0175018310547,139.73599243164062,400.6880798339844,250.3300018310547,386.6700134277344,215.12547302246094,131.28855895996094,55.90999984741211,578.719970703125,328.0199890136719,170.15773010253906,167.49000549316406,60.45000076293945,336.42999267578125,261.2295227050781,361.6501159667969,248.67994689941406,366.2900085449219,260.669921875,67.26000213623047,107.88999938964844,165.1639862060547,49.47999954223633,72.15740203857422,81.66999816894531,105.1869888305664,314.9800109863281,84.3229751586914,540.8400268554688,150.3000030517578,399.00970458984375,578.4400024414062,278.1700134277344,88.4800033569336,174.08999633789062,56.262229919433594,157.80813598632812,108.91999816894531,152.99000549316406,100.98999786376953,191.52000427246094,185.39999389648438,626.0900268554688,90.2184066772461,93.71129608154297,440.1705627441406,268.1700134277344,19.89426040649414,226.56809997558594,73.93608093261719,620.5,110.97000122070312,354.79998779296875,184.63999938964844,469.0,245.21888732910156,209.74595642089844,226.14999389648438,53.59000015258789,55.80942153930664,144.1999969482422,70.56768798828125
2022-01-12,175.52999877929688,135.87998962402344,133.25,377.19000244140625,532.3699951171875,173.75,234.6300048828125,159.5500030517578,137.47000122070312,231.75999450683594,259.3900146484375,165.20700073242188,622.0,174.47000122070312,217.4499969482422,48.62226867675781,2436.10009765625,885.1099853515625,64.81999969482422,66.75421142578125,221.32606506347656,197.82000732421875,238.77999877929688,50.95000076293945,83.97759246826172,525.7999877929688,237.8300018310547,62.119998931884766,105.21761322021484,126.00704193115234,376.25,306.3800048828125,157.8000030517578,102.59432220458984,344.8426818847656,102.0199966430664,102.23999786376953,72.25,141.6479949951172,141.4304962158203,388.0227355957031,249.3000030517578,389.3999938964844,217.0548553466797,131.99998474121094,55.7400016784668,577.260009765625,323.1600036621094,168.70703125,168.44000244140625,60.540000915527344,341.2900085449219,254.85610961914062,358.8294982910156,249.89593505859375,367.30999755859375,259.4765625,67.37000274658203,108.94999694824219,165.80178833007812,49.4900016784668,72.54454803466797,81.19999694824219,102.33685302734375,318.2699890136719,84.62132263183594,537.219970703125,152.2100067138672,393.9598388671875,573.3900146484375,279.989990234375,88.30999755859375,173.89999389648438,56.2225341796875,158.15625,109.8499984741211,153.24000549316406,101.44000244140625,187.1999969482422,186.4199981689453,631.4400024414062,90.56646728515625,94.6193618774414,446.9774169921875,268.0299987792969,19.977340698242188,223.5013885498047,73.1390380859375,625.2000122070312,110.8499984741211,368.739990234375,186.02999877929688,473.7200012207031,245.7960662841797,209.69631958007812,226.13999938964844,53.45000076293945,56.14789962768555,143.44000244140625,70.35999298095703
2022-01-13,172.19000244140625,133.52000427246094,129.64999389648438,361.3699951171875,516.9000244140625,169.77999877929688,231.92999267578125,157.17999267578125,132.74000549316406,230.85000610351562,255.44000244140625,161.21400451660156,597.1900024414062,173.2899932861328,223.89999389648438,48.52275085449219,2458.97998046875,867.5800170898438,64.5999984741211,67.25030517578125,225.9038543701172,197.52999877929688,240.5500030517578,51.279998779296875,83.20149230957031,516.8800048828125,228.6300048828125,61.5,104.77995300292969,125.48255157470703,380.3900146484375,292.04998779296875,155.44000244140625,103.11907196044922,333.695556640625,102.0,102.45999908447266,71.87999725341797,139.13099670410156,138.58700561523438,388.5098571777344,254.41000366210938,386.9800109863281,218.22837829589844,133.15606689453125,54.939998626708984,552.9199829101562,313.2099914550781,167.68360900878906,168.22999572753906,60.900001525878906,333.4100036621094,248.63209533691406,362.6829833984375,249.87600708007812,369.5199890136719,259.9638366699219,67.63999938964844,108.77999877929688,163.3900604248047,50.310001373291016,72.58425903320312,81.31999969482422,101.84031677246094,304.79998779296875,84.432373046875,519.2000122070312,149.58999633789062,396.03155517578125,521.260009765625,265.75,87.79000091552734,174.17999267578125,55.12091064453125,157.4401092529297,109.26000213623047,153.14999389648438,102.0999984741211,181.00999450683594,183.88999938964844,616.1099853515625,91.05375671386719,93.18241119384766,435.4297180175781,267.8900146484375,20.24169158935547,224.85552978515625,72.34199523925781,600.8900146484375,110.12000274658203,343.85333251953125,184.14999389648438,467.42999267578125,246.4130401611328,208.9517364501953,226.5800018310547,53.52000045776367,55.74968719482422,145.47000122070312,69.85558319091797
2022-01-14,173.07000732421875,135.8699951171875,128.16000366210938,353.3599853515625,520.5999755859375,172.0,228.75,167.0,136.8800048828125,235.36000061035156,250.6199951171875,162.13800048828125,596.3699951171875,168.39999389648438,225.9600067138672,47.6768913269043,2450.949951171875,848.5999755859375,64.93000030517578,66.40695190429688,227.83448791503906,196.25999450683594,242.1699981689453,51.68000030517578,86.30587768554688,502.989990234375,231.22999572753906,61.36000061035156,105.6552734375,127.6201171875,379.55999755859375,293.30999755859375,151.94000244140625,103.01016235351562,321.3907775878906,105.62999725341797,103.16000366210938,71.7699966430664,139.7864990234375,139.48049926757812,378.7076721191406,257.0,372.0,216.4581298828125,132.6126251220703,55.70000076293945,550.7899780273438,307.739990234375,166.76947021484375,157.88999938964844,61.38999938964844,328.6300048828125,243.10516357421875,370.0721130371094,242.59999084472656,372.1400146484375,256.2843017578125,68.0999984741211,108.55000305175781,160.6494598388672,50.810001373291016,74.1923828125,81.37999725341797,98.19570922851562,310.20001220703125,82.74172973632812,525.6900024414062,148.17999267578125,401.848388671875,531.02001953125,269.4200134277344,87.69000244140625,175.63999938964844,54.535362243652344,158.9519500732422,109.75,152.74000549316406,103.37999725341797,178.4199981689453,188.69000244140625,615.239990234375,91.81950378417969,95.3278579711914,431.5272216796875,266.7099914550781,20.528701782226562,220.44464111328125,70.91726684570312,594.7999877929688,108.5199966430664,349.8699951171875,187.00999450683594,468.69000244140625,245.0696258544922,205.05007934570312,234.05999755859375,53.279998779296875,57.800479888916016,145.05999755859375,71.08199310302734
